Statistical profiling result from isolate-000001430FB82000-5616-v8.log, (8524 ticks, 34 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
   6118   71.8%          C:\WINDOWS\SYSTEM32\ntdll.dll
   1368   16.0%          C:\Program Files\nodejs\node.exe
     23    0.3%          C:\WINDOWS\System32\KERNELBASE.dll
      9    0.1%          C:\WINDOWS\System32\KERNEL32.DLL
      3    0.0%          C:\WINDOWS\System32\WS2_32.dll
      2    0.0%          C:\WINDOWS\system32\mswsock.dll

 [JavaScript]:
   ticks  total  nonlib   name
     73    0.9%    7.3%  Builtin: GetProperty
     60    0.7%    6.0%  JS: *process C:\www\carmentis-core\dist\server\index.cjs:3264:12
     45    0.5%    4.5%  Builtin: NumberPrototypeToString
     38    0.4%    3.8%  Builtin: LoadIC
     24    0.3%    2.4%  Builtin: ArrayIteratorPrototypeNext
     22    0.3%    2.2%  Builtin: ArrayPrototypeJoin
     19    0.2%    1.9%  Builtin: IterableToList
     17    0.2%    1.7%  Builtin: ResumeGeneratorTrampoline
     17    0.2%    1.7%  Builtin: CallFunction_ReceiverIsAny
     16    0.2%    1.6%  Builtin: Call_ReceiverIsNotNullOrUndefined
     15    0.2%    1.5%  Builtin: BaselineOutOfLinePrologue
     14    0.2%    1.4%  JS: *write C:\www\carmentis-node\abci\dist\src\carmentis\abci\RadixTree.js:74:16
     14    0.2%    1.4%  Builtin: CreateTypedArray
     14    0.2%    1.4%  Builtin: CallFunction_ReceiverIsNotNullOrUndefined
     13    0.2%    1.3%  JS: *processChallenge C:\www\carmentis-node\abci\dist\src\carmentis\abci\Storage.js:178:27
     12    0.1%    1.2%  JS: *digestInto C:\www\carmentis-core\dist\server\index.cjs:3127:15
     12    0.1%    1.2%  Builtin: RunMicrotasks
     12    0.1%    1.2%  Builtin: LoadIC_Megamorphic
     11    0.1%    1.1%  Builtin: CEntry_Return1_ArgvOnStack_NoBuiltinExit
     10    0.1%    1.0%  JS: *write node:internal/fs/promises:721:21
     10    0.1%    1.0%  Builtin: RegExpMatchFast
     10    0.1%    1.0%  Builtin: KeyedLoadIC
     10    0.1%    1.0%  Builtin: CompileLazy
      9    0.1%    0.9%  JS: *read node:internal/fs/promises:648:20
      9    0.1%    0.9%  Builtin: StringPrototypePadStart
      9    0.1%    0.9%  Builtin: LoadICTrampoline
      9    0.1%    0.9%  Builtin: KeyedStoreIC_Megamorphic
      9    0.1%    0.9%  Builtin: KeyedLoadIC_Megamorphic
      8    0.1%    0.8%  JS: *createDbFile C:\www\carmentis-node\abci\dist\src\carmentis\abci\SnapshotsManager.js:177:23
      8    0.1%    0.8%  Builtin: CreateShallowObjectLiteral
      7    0.1%    0.7%  JS: *putRaw C:\www\carmentis-node\abci\dist\src\carmentis\abci\database\CachedLevelDb.js:57:17
      7    0.1%    0.7%  JS: *normalize node:path:358:12
      7    0.1%    0.7%  Builtin: SetPrototypeAdd
      7    0.1%    0.7%  Builtin: ResolvePromise
      6    0.1%    0.6%  Builtin: TypedArrayPrototypeSet
      6    0.1%    0.6%  Builtin: SetPrototypeDelete
      6    0.1%    0.6%  Builtin: FulfillPromise
      6    0.1%    0.6%  Builtin: EnqueueMicrotask
      6    0.1%    0.6%  Builtin: Construct
      5    0.1%    0.5%  RegExp: ^([\da-f]{2})*$
      5    0.1%    0.5%  JS: *unserializeObject C:\www\carmentis-core\dist\server\index.cjs:6963:22
      5    0.1%    0.5%  Builtin: ToBooleanForBaselineJump
      5    0.1%    0.5%  Builtin: SuspendGeneratorBaseline
      5    0.1%    0.5%  Builtin: StringAdd_CheckNone
      5    0.1%    0.5%  Builtin: KeyedStoreIC
      5    0.1%    0.5%  Builtin: FindOrderedHashMapEntry
      5    0.1%    0.5%  Builtin: CallWithSpread
      5    0.1%    0.5%  Builtin: CallFunction_ReceiverIsNullOrUndefined
      5    0.1%    0.5%  Builtin: AsyncFunctionAwaitUncaught
      4    0.0%    0.4%  JS: *next C:\www\carmentis-node\abci\node_modules\abstract-level\abstract-iterator.js:58:14
      4    0.0%    0.4%  JS: *getRaw C:\www\carmentis-node\abci\dist\src\carmentis\abci\database\CachedLevelDb.js:43:17
      4    0.0%    0.4%  JS: *fulfilled C:\www\carmentis-core\dist\server\index.cjs:38:27
      4    0.0%    0.4%  Builtin: StoreIC
      4    0.0%    0.4%  Builtin: RecordWriteSaveFP
      4    0.0%    0.4%  Builtin: PerformPromiseThen
      4    0.0%    0.4%  Builtin: KeyedLoadIC_PolymorphicName
      4    0.0%    0.4%  Builtin: JSRunMicrotasksEntry
