Statistical profiling result from isolate-000001D42F661000-67156-v8.log, (37350 ticks, 52 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
  33790   90.5%          C:\WINDOWS\SYSTEM32\ntdll.dll
   2134    5.7%          C:\Program Files\nodejs\node.exe
     26    0.1%          C:\WINDOWS\System32\KERNELBASE.dll
     15    0.0%          C:\WINDOWS\System32\KERNEL32.DLL
      2    0.0%          C:\WINDOWS\System32\WS2_32.dll

 [JavaScript]:
   ticks  total  nonlib   name
     81    0.2%    5.9%  Builtin: GetProperty
     63    0.2%    4.6%  Builtin: LoadIC
     45    0.1%    3.3%  Builtin: NumberPrototypeToString
     45    0.1%    3.3%  Builtin: ArrayIteratorPrototypeNext
     44    0.1%    3.2%  JS: *processChallenge C:\www\carmentis-node\abci\dist\src\carmentis\abci\Storage.js:179:27
     34    0.1%    2.5%  Builtin: ResumeGeneratorTrampoline
     31    0.1%    2.2%  Builtin: BaselineOutOfLinePrologue
     30    0.1%    2.2%  Builtin: CreateTypedArray
     28    0.1%    2.0%  Builtin: CreateShallowObjectLiteral
     28    0.1%    2.0%  Builtin: CallFunction_ReceiverIsAny
     25    0.1%    1.8%  Builtin: IterableToList
     22    0.1%    1.6%  Builtin: FulfillPromise
     22    0.1%    1.6%  Builtin: ArrayPrototypeJoin
     21    0.1%    1.5%  Builtin: CallFunction_ReceiverIsNotNullOrUndefined
     19    0.1%    1.4%  Builtin: KeyedStoreIC_Megamorphic
     17    0.0%    1.2%  Builtin: CompileLazy
     15    0.0%    1.1%  JS: *putRaw C:\www\carmentis-node\abci\dist\src\carmentis\abci\database\CachedLevelDb.js:57:17
     15    0.0%    1.1%  Builtin: RunMicrotasks
     14    0.0%    1.0%  Builtin: ResolvePromise
     13    0.0%    0.9%  JS: *getRaw C:\www\carmentis-node\abci\dist\src\carmentis\abci\database\CachedLevelDb.js:43:17
     13    0.0%    0.9%  Builtin: KeyedLoadIC_Megamorphic
     12    0.0%    0.9%  JS: *process C:\www\carmentis-core\dist\server\index.cjs:3264:12
     12    0.0%    0.9%  Builtin: StoreIC
     12    0.0%    0.9%  Builtin: KeyedLoadIC
     12    0.0%    0.9%  Builtin: Call_ReceiverIsNullOrUndefined
     11    0.0%    0.8%  JS: *next node:internal/per_context/primordials:331:9
     11    0.0%    0.8%  JS: *fsCall node:internal/fs/promises:454:22
     10    0.0%    0.7%  JS: *read node:internal/fs/promises:648:20
     10    0.0%    0.7%  JS: *normalize node:path:358:12
     10    0.0%    0.7%  Builtin: StringPrototypePadStart
     10    0.0%    0.7%  Builtin: DefineNamedOwnIC
     10    0.0%    0.7%  Builtin: CallFunction_ReceiverIsNullOrUndefined
      9    0.0%    0.7%  Builtin: ToBooleanForBaselineJump
      9    0.0%    0.7%  Builtin: SetPrototypeDelete
      9    0.0%    0.7%  Builtin: LoadIC_Megamorphic
      9    0.0%    0.7%  Builtin: KeyedLoadIC_PolymorphicName
      9    0.0%    0.7%  Builtin: JSRunMicrotasksEntry
      9    0.0%    0.7%  Builtin: EnqueueMicrotask
      9    0.0%    0.7%  Builtin: CEntry_Return1_ArgvOnStack_NoBuiltinExit
      9    0.0%    0.7%  Builtin: AsyncFunctionAwaitUncaught
      8    0.0%    0.6%  JS: *write C:\www\carmentis-node\abci\dist\src\carmentis\abci\RadixTree.js:75:16
      8    0.0%    0.6%  Builtin: RegExpMatchFast
      8    0.0%    0.6%  Builtin: LoadICTrampoline
      8    0.0%    0.6%  Builtin: JSConstructStubGeneric
      8    0.0%    0.6%  Builtin: Call_ReceiverIsAny
      8    0.0%    0.6%  Builtin: CallApiCallbackOptimizedNoProfiling
      7    0.0%    0.5%  Builtin: SetPrototypeAdd
      7    0.0%    0.5%  Builtin: PromisePrototypeThen
      7    0.0%    0.5%  Builtin: LoadGlobalIC
      7    0.0%    0.5%  Builtin: CallWithSpread
      6    0.0%    0.4%  JS: *readMicroblock C:\www\carmentis-node\abci\dist\src\carmentis\abci\Storage.js:148:25
      6    0.0%    0.4%  Builtin: StringAdd_CheckNone
      6    0.0%    0.4%  Builtin: RecordWriteSaveFP
      6    0.0%    0.4%  Builtin: PromiseFulfillReactionJob
      6    0.0%    0.4%  Builtin: KeyedStoreIC
      6    0.0%    0.4%  Builtin: BaselineLeaveFrame
      6    0.0%    0.4%  Builtin: ArrayPrototypePush
      5    0.0%    0.4%  JS: *read C:\www\carmentis-node\abci\dist\src\carmentis\abci\ChallengeFile.js:31:15
      5    0.0%    0.4%  JS: *printMessages C:\www\carmentis-node\abci\node_modules\@nestjs\common\services\console-logger.service.js:138:18
      5    0.0%    0.4%  JS: *getObject C:\www\carmentis-node\abci\dist\src\carmentis\abci\database\CachedLevelDb.js:50:20
      5    0.0%    0.4%  JS: *del C:\www\carmentis-node\abci\dist\src\carmentis\abci\database\CachedLevelDb.js:83:14
